1, AZ, 002, 36,rrr45,cvf81, 52, 0, 0, 0,0,0
2, CO, 1ddd89, rr23,56,45, 96,0, 0, 0,0,0
3, DE, 89, 21,256,145, abc123,0, 0, 0,0,0
4, FL, 12,13,14,15,16, 0,0,0,0,0
5, GA, 31,32,33,34,35, 0,0,0,0,0
6, HI, 1,2,3,4,5, 0,0,0,0,0
7, ID, 89,45,78,56,89, 0,0,0,0,0
8, IL, 56,57,58,59,60, 0,0,0,0,0
9, IN, 4,7,8,5,4, 0,0,0,0,0
10, IA, 8,7,9,45,10, 0,0,0,0,0
11, KS, 56,23,45,45,78, 0,0,0,0,0
12, KY, 11,12,13,14,15, 0,0,0,0,0
13, LA, 25,28,29,27,21, 0,0,0,0,0
14, MD, 35,37,37,38,39, 0,0,0,0,0
15, ME, 1,2,3,4,5, 0,0,0,0,0
16, MA, 8,7,9,45,10, 0,0,0,0,0
17, MN, 1,2,3,4,5, 0,0,0,0,0
18, MI, 8,7,9,45,10, 0,0,0,0,0
19, MS, 56,57,58,59,60, 0,0,0,0,0
20, MO, 1,2,3,4,5, 0,0,0,0,0
21, MT, 8,7,9,45,10, 0,0,0,0,0
22, NC, 31,32,33,34,35, 0,0,0,0,0
23, NE, 1ddd89, rr23,56,45, 96,0, 0, 0,0,0
24, NV, 8,7,9,45,10, 0,0,0,0,0
25, NH, 31,32,33,34,35, 0,0,0,0,0
26, NJ, 1ddd89, rr23,56,45, 96,0, 0, 0,0,0
27, NY, 1,2,3,4,5, 0,0,0,0,0
28, ND, 8,7,9,45,10, 0,0,0,0,0
29, NM, 89,45,78,56,89, 0,0,0,0,0
30, OH, 1,2,3,4,5, 0,0,0,0,0
31, OK, 8,7,9,45,10, 0,0,0,0,0
32, OR, 1ddd89, rr23,56,45, 96,0, 0, 0,0,0
33, PA, 89,45,78,56,89, 0,0,0,0,0
34, RI, 89,45,78,56,89, 0,0,0,0,0
35, SC, 8,7,9,45,10, 0,0,0,0,0
36, SD, 89,45,78,56,89, 0,0,0,0,0
37, TN, 31,32,33,34,35, 0,0,0,0,0
38, TX, 1ddd89, rr23,56,45, 96,0, 0, 0,0,0
39, UT, 8,7,9,45,10, 0,0,0,0,0
40, WI, 31,32,33,34,35, 0,0,0,0,0
41, VA, 56,57,58,59,60, 0,0,0,0,0
42, VT, 1,2,3,4,5, 0,0,0,0,0
43, WA, 8,7,9,45,10, 0,0,0,0,0
44, WV, 31,32,33,34,35, 0,0,0,0,0
45, WY, 56,57,58,59,60, 0,0,0,0,0
46, CA, 31,32,33,34,35, 0,0,0,0,0
47, CT, 1,2,3,4,5, 0,0,0,0,0
48, AK, 8,7,9,45,10, 0,0,0,0,0
49, AR, 31,32,33,34,35, 0,0,0,0,0
50, AL, 56,57,58,59,60, 0,0,0,0,0
