label,count
A18FK1XR73EQ2W:3S0TNUHWKU1IJWYSVE091C0SVYP8DF,226
A19PATBI3SQNU0:3R5F3LQFV33O7PQ4UDE2PQ9VYL3OZX,246
A1A3TGZ7DKJWRW:3H7XDTSHKDAWLH41V7HNLD6BQ0SWGI,240
A1BW7N44HGFDOC:39DD6S19JQU2VYDF0ZB6KEFHUMHZEU,202
A1KVDU4R0QLM1O:3KJYX6QCMAUTXUUXD3XUWOFDBGOVJM,240
A1MZ3FT1VDHWXS:3JPSL1DZ5TI5OWIKH6YQT8IHZTCNA7,231
A1P8M5BKOTAA8I:3IXEICO79322W7B1OP3QM2MNSS8T6O,232
A1QS3LIM6D6GVY:3N2BF7Y2VRDEG15YBBTIXFGL7YSHMC,236
A1U0824UC7WGB0:3FIUS151DWL0OVE1G2D5ZAKNWAPGGM,245
A1VY46WCT7RK96:3TS1AR6UQRXBH275CF3TBC7IWUKF71,238
A1ZSTHVYZ7QUJ5:3OUYGIZWR8H9Q4WF5JEP8RBZQKI0P2,239
A25ROS9CH7PSFZ:3UJ1CZ6IZI85Y3Y8U6OVKRC1UEJS5I,236
A26OCU9PF393MC:3YW4XOSQKR4MPYPTIOHJW2H83SEU1R,234
A2707DOBARQ4D1:3ERET4BTVNSQB7NCSNSA5LQTZEA9KQ,208
A27BSYPO6JCB4Q:3AAJC4I4FHBA6EZ7E0MXHUS9ZRTZJP,234
A28RX7L0QZ993M:3DI28L7YXBX502S7SO2ESKV5H4KE1U,206
A2A1BZ1MPAT6TV:3E7TUJ2EGD5IX1H2066N18V3F7T9DX,223
A2AAY4VT9L71SY:3UXUOQ9OKFGGLBQX1ZH1XBWRZBN7AQ,218
A2C53HPFPG6H4G:3137ONMDKHO24HIAA7NHZ7ZBJT3GEW,241
A2HVF057VWWZZ2:3PWWM24LHTHVGM0CYPGS5T9OYAL28R,240
A2LHVAP4YPVSZP:3ZPPDN2SLWFNP7V2W1H77QDOFJU9EQ,230
A2LVAD3U0MFOIM:3TVSS0C0E2J0QMQ7F7GUKWL0GRDWTY,231
A2M4YIC3XU2693:3KMS4QQVK39ZCHEPV9S2FHC42EKKFC,248
A2S6QOCFC3EAYH:3HHRAGRYX9O91Y8RQFK3C272JLZ9OT,241
A2SYRFPPV9WDEG:3GGAI1SQEWHNZTUIPJFHMOJ5U32MCH,230
A2UIPRZUHUN9OU:33ISQZVXPQ5AQ7IRCUL3JSET0PZCCQ,240
A2YK27PT866YXE:3TPWUS5F8AKJ45OWTLL4VMLWS5HWCJ,247
A30MRHJ2H06674:3H8DHMCCWAU2EX0T43XCRH9JQ14KD1,237
A30VNIFO2AI53T:3R0T90IZ1TVN7JYWEGHM9JZ8YHQGC3,223
A320QA9HJFUOZO:33UKMF931A38Y5MDK2BJXCE1CXYTT8,239
A37EV8RZ82WT8E:3ND9UOO81LLC79I26YE3Y5BJMHEWLO,206
A3A6FIAZ2W81:3L4D84MIL0BOFTZD8EGQHNO432HHJO,241
A3NH5PS2F5BY7P:3T111IHZ5F9CYB07I7176XC7U5Z9RC,207
A3QECP1TW4LTF9:3CTOC39K389RM4T1V5UEQAZAPYH7J6,227
ABFJSOC07JFH2:34QN5IT0T0AOKCXYJ2CEM5G919H80N,231
ADELW3TS04YY7:3U088ZLJVLCZADTGH5SK0LJVJJ50WL,245
ADS8CCQYKOBVD:30BUDKLTXEE4OKTQTB4QVA8MTKPE5C,231
AKY7ZFPCHAXMJ:3OF2M9AATH75HY5PWLM9I9SMEGTZKO,211
AOAZMLP27GD81:3TPWUS5F8AKJ45OWTLL4VMLWS5HCWZ,235
ARW0NJ654PMV6:3F1567XTNXOCMAL75SC71722YJX9QB,237
